날짜,메뉴,재료,공급업체,수량,단가,비고
2025-12-26,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-26,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-27,붕어빵,반죽,황금잉어빵세종,2,13000,
2025-12-27,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-27,붕어빵,슈크림,황금잉어빵세종,2,8500,
2025-12-29,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-29,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-29,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-29,붕어빵,소봉투,황금잉어빵세종,5,2000,
2025-12-30,떡볶이,떡볶이 소스,소스히어로,2,46000,
2025-12-30,닭강정,왕짧짧,농민식품,1,8000,
2025-12-31,붕어빵,반죽,황금잉어빵세종,1,13000,
2025-12-31,붕어빵,팥,황금잉어빵세종,1,8500,
2025-12-31,붕어빵,슈크림,황금잉어빵세종,1,8500,
2025-12-31,붕어빵,LPG가스,시내가스,1,48000,
2026-01-05,붕어빵,팥,황금잉어빵본사,1,8500,
2026-01-05,붕어빵,반죽,황금잉어빵세종,2,13000,
2026-01-05,닭강정,왕짧짧,황금잉어빵세종,1,8000,
2026-01-05,떡볶이,쌀떡볶이,황금잉어빵세종,1,8000,
